year mo dy flow_cfs
1929 06 05 10300
1929 06 06 11800
1929 06 07 13700
1929 06 08 14800
1929 06 09 15500
1929 06 10 14800
1929 06 11 13900
1929 06 12 12800
1929 06 13 12400
1929 06 14 13300
1929 06 15 12800
1929 06 16 12200
1929 06 17 11600
1929 06 18 9740
1929 06 19 8560
1929 06 20 7260
1929 06 21 6560
1929 06 22 6220
1929 06 23 6390
1929 06 24 6560
1929 06 25 6900
1929 06 26 7080
1929 06 27 6900
1929 06 28 6560
1929 06 29 6390
1929 06 30 6060
1929 07 01 5400
1929 07 02 4940
1929 07 03 4630
1929 07 04 4330
1929 07 05 3900
1929 07 06 3620
1929 07 07 3360
1929 07 08 3230
1929 07 09 2990
1929 07 10 2810
1929 07 11 2640
1929 07 12 2520
1929 07 13 2360
1929 07 14 2310
1929 07 15 2160
1929 07 16 2160
1929 07 17 1960
1929 07 18 1960
1929 07 19 1960
1929 07 20 1820
1929 07 21 1780
1929 07 22 1680
1929 07 23 1640
1929 07 24 1550
1929 07 25 1460
1929 07 26 1420
1929 07 27 1380
1929 07 28 1340
1929 07 29 1290
1929 07 30 1250
1929 07 31 1210
1929 08 01 1170
1929 08 02 1130
1929 08 03 1130
1929 08 04 1130
1929 08 05 1090
1929 08 06 1050
1929 08 07 1050
1929 08 08 1010
1929 08 09 973
1929 08 10 936
1929 08 11 899
1929 08 12 899
1929 08 13 871
1929 08 14 842
1929 08 15 828
1929 08 16 808
1929 08 17 754
1929 08 18 709
1929 08 19 690
1929 08 20 666
1929 08 21 654
1929 08 22 619
1929 08 23 608
1929 08 24 597
1929 08 25 608
1929 08 26 602
1929 08 27 592
1929 08 28 570
1929 08 29 559
1929 08 30 554
1929 08 31 554
1929 09 01 549
1929 09 02 559
1929 09 03 597
1929 09 04 570
1929 09 05 559
1929 09 06 554
1929 09 07 549
1929 09 08 533
1929 09 09 518
1929 09 10 514
1929 09 11 504
1929 09 12 494
1929 09 13 480
1929 09 14 467
1929 09 15 462
1929 09 16 462
1929 09 17 458
1929 09 18 458
1929 09 19 453
1929 09 20 448
1929 09 21 448
1929 09 22 453
1929 09 23 458
1929 09 24 462
1929 09 25 467
1929 09 26 462
1929 09 27 462
1929 09 28 467
1929 09 29 467
1929 09 30 467
1929 10 01 547
1929 10 02 496
1929 10 03 465
1929 10 04 469
1929 10 05 461
1929 10 06 484
1929 10 07 473
1929 10 08 457
1929 10 09 454
1929 10 10 457
1929 10 11 450
1929 10 12 461
1929 10 13 439
1929 10 14 436
1929 10 15 432
1929 10 16 429
1929 10 17 425
1929 10 18 432
1929 10 19 425
1929 10 20 425
1929 10 21 418
1929 10 22 412
1929 10 23 405
1929 10 24 408
1929 10 25 415
1929 10 26 408
1929 10 27 436
1929 10 28 461
1929 10 29 447
1929 10 30 436
1929 10 31 429
1929 11 01 422
1929 11 02 415
1929 11 03 408
1929 11 04 405
1929 11 05 408
1929 11 06 412
1929 11 07 405
1929 11 08 402
1929 11 09 399
1929 11 10 395
1929 11 11 392
1929 11 12 395
1929 11 13 386
1929 11 14 465
1929 11 15 418
1929 11 16 412
1929 11 17 405
1929 11 18 402
1929 11 19 360
1929 11 20 342
1929 11 21 339
1929 11 22 302
1929 11 23 292
1929 11 24 336
1929 11 25 348
1929 11 26 399
1929 11 27 422
1929 11 28 443
1929 11 29 418
1929 11 30 408
1929 12 01 345
1929 12 02 400
1929 12 03 400
1929 12 04 400
1929 12 05 400
1929 12 06 400
1929 12 07 400
1929 12 08 400
1929 12 09 400
1929 12 10 400
1929 12 11 375
1929 12 12 375
1929 12 13 375
1929 12 14 375
1929 12 15 375
1929 12 16 375
1929 12 17 375
1929 12 18 375
1929 12 19 375
1929 12 20 375
1929 12 21 350
1929 12 22 350
1929 12 23 350
1929 12 24 350
1929 12 25 350
1929 12 26 350
1929 12 27 350
1929 12 28 350
1929 12 29 350
1929 12 30 350
1929 12 31 350
1930 01 01 350
1930 01 02 350
1930 01 03 350
1930 01 04 350
1930 01 05 350
1930 01 06 325
1930 01 07 325
1930 01 08 325
1930 01 09 325
1930 01 10 325
1930 01 11 325
1930 01 12 325
1930 01 13 325
1930 01 14 318
1930 01 15 318
1930 01 16 289
1930 01 17 294
1930 01 18 289
1930 01 19 280
1930 01 20 276
1930 01 21 276
1930 01 22 280
1930 01 23 258
1930 01 24 271
1930 01 25 258
1930 01 26 289
1930 01 27 294
1930 01 28 299
1930 01 29 318
1930 01 30 328
1930 01 31 294
1930 02 01 289
1930 02 02 369
1930 02 03 375
1930 02 04 386
1930 02 05 397
1930 02 06 431
1930 02 07 467
1930 02 08 473
1930 02 09 455
1930 02 10 485
1930 02 11 507
1930 02 12 551
1930 02 13 485
1930 02 14 455
1930 02 15 467
1930 02 16 498
1930 02 17 551
1930 02 18 800
1930 02 19 800
1930 02 20 846
1930 02 21 838
1930 02 22 800
1930 02 23 787
1930 02 24 680
1930 02 25 565
1930 02 26 525
1930 02 27 425
1930 02 28 357
1930 03 01 302
1930 03 02 280
1930 03 03 280
1930 03 04 280
1930 03 05 280
1930 03 06 280
1930 03 07 264
1930 03 08 259
1930 03 09 257
1930 03 10 248
1930 03 11 243
1930 03 12 245
1930 03 13 262
1930 03 14 248
1930 03 15 262
1930 03 16 276
1930 03 17 292
1930 03 18 324
1930 03 19 360
1930 03 20 425
1930 03 21 500
1930 03 22 574
1930 03 23 735
1930 03 24 614
1930 03 25 598
1930 03 26 630
1930 03 27 657
1930 03 28 878
1930 03 29 1130
1930 03 30 1250
1930 03 31 1340
1930 04 01 1550
1930 04 02 1960
1930 04 03 2470
1930 04 04 3360
1930 04 05 3490
1930 04 06 4480
1930 04 07 6060
1930 04 08 7800
1930 04 09 8560
1930 04 10 7800
1930 04 11 7800
1930 04 12 8560
1930 04 13 9540
1930 04 14 11200
1930 04 15 12200
